Country,Food,Year,Import
Niue,"Vegetable, fruit, nut, etc food preparations",2004,456
Niue,"Vegetable, fruit, nut, etc food preparations",2005,400
Niue,"Vegetable, fruit, nut, etc food preparations",2006,880
Niue,"Vegetable, fruit, nut, etc food preparations",2007,392
Niue,"Vegetable, fruit, nut, etc food preparations",2008,532
Niue,"Vegetable, fruit, nut, etc food preparations",2009,376
Niue,"Vegetable, fruit, nut, etc food preparations",2010,248
Niue,"Vegetable, fruit, nut, etc food preparations",2011,347
Niue,"Vegetable, fruit, nut, etc food preparations",2012,344
Niue,"Vegetable, fruit, nut, etc food preparations",2013,342
Niue,"Vegetable, fruit, nut, etc food preparations",2014,292
Niue,"Vegetable, fruit, nut, etc food preparations",2015,240
Niue,"Vegetable, fruit, nut, etc food preparations",2016,264
Niue,"Vegetable, fruit, nut, etc food preparations",2017,245
Niue,"Vegetable, fruit, nut, etc food preparations",2018,348
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2002,420
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2003,295
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2004,325
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2005,380
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2006,700
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2007,355
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2008,255
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2009,370
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2010,255
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2011,360
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2012,270
Northern Mariana Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2013,440
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2006,0
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2007,0
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2009,0
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2010,0
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2011,0
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2012,0
Northern Mariana Islands,Edible vegetables and certain roots and tubers,2013,5
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2002,45
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2003,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2004,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2005,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2006,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2007,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2009,20
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2010,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2011,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2012,45
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2013,0
Northern Mariana Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2014,0
Northern Mariana Islands,Miscellaneous edible preparations,2002,0
Northern Mariana Islands,Miscellaneous edible preparations,2009,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2002,5
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2003,15
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2004,20
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2005,20
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2006,25
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2007,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2008,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2009,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2010,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2011,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2012,0
Northern Mariana Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2013,0
Palau,"Animal,vegetable fats and oils, cleavage products, et",1996,28
Palau,"Animal,vegetable fats and oils, cleavage products, et",1997,66
Palau,"Animal,vegetable fats and oils, cleavage products, et",1998,32
Palau,"Animal,vegetable fats and oils, cleavage products, et",1999,129
Palau,"Animal,vegetable fats and oils, cleavage products, et",2000,68
Palau,"Animal,vegetable fats and oils, cleavage products, et",2001,299
Palau,"Animal,vegetable fats and oils, cleavage products, et",2002,304
Palau,"Animal,vegetable fats and oils, cleavage products, et",2003,380
Palau,"Animal,vegetable fats and oils, cleavage products, et",2004,596
Palau,"Animal,vegetable fats and oils, cleavage products, et",2005,317
Palau,"Animal,vegetable fats and oils, cleavage products, et",2006,334
Palau,"Animal,vegetable fats and oils, cleavage products, et",2007,1281
Palau,"Animal,vegetable fats and oils, cleavage products, et",2008,1662
Palau,"Animal,vegetable fats and oils, cleavage products, et",2009,1318
Palau,"Animal,vegetable fats and oils, cleavage products, et",2010,1508
Palau,"Animal,vegetable fats and oils, cleavage products, et",2011,1769
Palau,"Animal,vegetable fats and oils, cleavage products, et",2012,1739
Palau,"Animal,vegetable fats and oils, cleavage products, et",2013,1618
Palau,"Animal,vegetable fats and oils, cleavage products, et",2014,1075
Palau,"Animal,vegetable fats and oils, cleavage products, et",2015,1340
Palau,"Animal,vegetable fats and oils, cleavage products, et",2016,1377
Palau,"Animal,vegetable fats and oils, cleavage products, et",2017,1322
Palau,"Animal,vegetable fats and oils, cleavage products, et",2018,1119
Palau,"Beverages, spirits and vinegar",1995,7842
Palau,"Beverages, spirits and vinegar",1996,9049
Palau,"Beverages, spirits and vinegar",1997,11734
Palau,"Beverages, spirits and vinegar",1998,9746
Palau,"Beverages, spirits and vinegar",1999,3671
Palau,"Beverages, spirits and vinegar",2000,9386
Palau,"Beverages, spirits and vinegar",2001,9563
Palau,"Beverages, spirits and vinegar",2002,4601
Palau,"Beverages, spirits and vinegar",2003,10299
Palau,"Beverages, spirits and vinegar",2004,10567
Palau,"Beverages, spirits and vinegar",2005,11279
Palau,"Beverages, spirits and vinegar",2006,8815
Palau,"Beverages, spirits and vinegar",2007,19335
Palau,"Beverages, spirits and vinegar",2008,15784
Palau,"Beverages, spirits and vinegar",2009,13837
Palau,"Beverages, spirits and vinegar",2010,14704
Palau,"Beverages, spirits and vinegar",2011,19308
Palau,"Beverages, spirits and vinegar",2012,19866
Palau,"Beverages, spirits and vinegar",2013,19091
Palau,"Beverages, spirits and vinegar",2014,19348
Palau,"Beverages, spirits and vinegar",2015,19677
Palau,"Beverages, spirits and vinegar",2016,26748
Palau,"Beverages, spirits and vinegar",2017,18361
Palau,"Beverages, spirits and vinegar",2018,16935
Palau,"Cereal, flour, starch, milk preparations and products",1995,342
Palau,"Cereal, flour, starch, milk preparations and products",1996,1410
Palau,"Cereal, flour, starch, milk preparations and products",1997,1132
Palau,"Cereal, flour, starch, milk preparations and products",1998,1494
Palau,"Cereal, flour, starch, milk preparations and products",1999,786
Palau,"Cereal, flour, starch, milk preparations and products",2000,1094
Palau,"Cereal, flour, starch, milk preparations and products",2001,982
Palau,"Cereal, flour, starch, milk preparations and products",2002,832
Palau,"Cereal, flour, starch, milk preparations and products",2003,880
Palau,"Cereal, flour, starch, milk preparations and products",2004,905
Palau,"Cereal, flour, starch, milk preparations and products",2005,1182
Palau,"Cereal, flour, starch, milk preparations and products",2006,1488
Palau,"Cereal, flour, starch, milk preparations and products",2007,3249
Palau,"Cereal, flour, starch, milk preparations and products",2008,3260
Palau,"Cereal, flour, starch, milk preparations and products",2009,2668
Palau,"Cereal, flour, starch, milk preparations and products",2010,2738
Palau,"Cereal, flour, starch, milk preparations and products",2011,3856
Palau,"Cereal, flour, starch, milk preparations and products",2012,2518
Palau,"Cereal, flour, starch, milk preparations and products",2013,2863
Palau,"Cereal, flour, starch, milk preparations and products",2014,3173
Palau,"Cereal, flour, starch, milk preparations and products",2015,3873
Palau,"Cereal, flour, starch, milk preparations and products",2016,6460
Palau,"Cereal, flour, starch, milk preparations and products",2017,6468
Palau,"Cereal, flour, starch, milk preparations and products",2018,5719
Palau,Cereals,1995,7365
Palau,Cereals,1996,5703
Palau,Cereals,1997,11072
Palau,Cereals,1998,3849
Palau,Cereals,1999,3192
Palau,Cereals,2000,12348
Palau,Cereals,2001,9655
Palau,Cereals,2002,6454
Palau,Cereals,2003,12852
Palau,Cereals,2004,6604
Palau,Cereals,2005,8619
Palau,Cereals,2006,6857
Palau,Cereals,2007,8248
Palau,Cereals,2008,9287
Palau,Cereals,2009,6560
Palau,Cereals,2010,5634
Palau,Cereals,2011,8272
Palau,Cereals,2012,6010
Palau,Cereals,2013,6997
Palau,Cereals,2014,6953
Palau,Cereals,2015,6925
Palau,Cereals,2016,5947
Palau,Cereals,2017,6122
Palau,Cereals,2018,6521
Palau,Cocoa and cocoa preparations,1995,6
Palau,Cocoa and cocoa preparations,1996,28
Palau,Cocoa and cocoa preparations,1997,369
Palau,Cocoa and cocoa preparations,1998,194
Palau,Cocoa and cocoa preparations,1999,93
Palau,Cocoa and cocoa preparations,2000,97
Palau,Cocoa and cocoa preparations,2001,280
Palau,Cocoa and cocoa preparations,2002,242
Palau,Cocoa and cocoa preparations,2003,284
Palau,Cocoa and cocoa preparations,2004,198
Palau,Cocoa and cocoa preparations,2005,201
Palau,Cocoa and cocoa preparations,2006,340
Palau,Cocoa and cocoa preparations,2007,662
Palau,Cocoa and cocoa preparations,2008,675
Palau,Cocoa and cocoa preparations,2009,336
Palau,Cocoa and cocoa preparations,2010,417
Palau,Cocoa and cocoa preparations,2011,499
Palau,Cocoa and cocoa preparations,2012,840
Palau,Cocoa and cocoa preparations,2013,606
Palau,Cocoa and cocoa preparations,2014,910
Palau,Cocoa and cocoa preparations,2015,1264
Palau,Cocoa and cocoa preparations,2016,590
Palau,Cocoa and cocoa preparations,2017,647
Palau,Cocoa and cocoa preparations,2018,551
Palau,"Coffee, tea, mate and spices",1995,0
Palau,"Coffee, tea, mate and spices",1996,4
Palau,"Coffee, tea, mate and spices",1997,5
Palau,"Coffee, tea, mate and spices",1998,16
Palau,"Coffee, tea, mate and spices",1999,156
Palau,"Coffee, tea, mate and spices",2000,72
Palau,"Coffee, tea, mate and spices",2001,0
Palau,"Coffee, tea, mate and spices",2002,0
Palau,"Coffee, tea, mate and spices",2004,0
Palau,"Coffee, tea, mate and spices",2005,110
Palau,"Coffee, tea, mate and spices",2006,20
Palau,"Coffee, tea, mate and spices",2007,765
Palau,"Coffee, tea, mate and spices",2008,891
Palau,"Coffee, tea, mate and spices",2009,871
Palau,"Coffee, tea, mate and spices",2010,878
Palau,"Coffee, tea, mate and spices",2011,981
Palau,"Coffee, tea, mate and spices",2012,2277
